"match_id","radiant_win","duration","radiant_score","dire_score","leagueid","start_time","lobby_type","game_mode","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
656631467,TRUE,1437,0,0,600,1399911321,1,2,41016928,84853828,85937380,86919603,91963568,91981924,100704400,109822425,109883841,132291754
656624364,FALSE,1586,0,0,600,1399911418,1,2,956503,21604967,34752860,36366510,41470731,44091499,45064222,86715129,109778511,115975133
656641101,FALSE,1797,0,0,600,1399911567,1,2,28070572,86722079,86750050,86761836,86785102,91539456,94923783,112956437,118073569,124105510
656762258,FALSE,1289,0,0,600,1399916043,1,2,956503,1185644,5448108,10366616,31818853,34752860,36366510,44091499,45064222,87196890
656759304,TRUE,2467,0,0,600,1399916056,1,2,29126401,41016928,58134384,74040691,84853828,85937380,86919603,93447516,100704400,170041034
656762659,FALSE,2018,0,0,600,1399916160,1,2,7910302,32922146,83625397,91963568,91981924,99643683,109822425,109883841,118032120,132291754
656763090,FALSE,1672,0,0,600,1399916174,1,2,21604967,28070572,41470731,86715129,86722079,86750050,91539456,109778511,115975133,124105510
656877636,TRUE,2514,0,0,600,1399920787,1,2,956503,7910302,32922146,34752860,36366510,44091499,45064222,83625397,99643683,118032120
656881036,FALSE,1414,0,0,600,1399920924,1,2,30237211,38515149,67601693,85805514,86738694,86761836,86785102,94923783,112956437,118073569
656884389,FALSE,630,0,0,600,1399920971,1,2,1185644,5448108,10366616,28070572,31818853,86722079,86750050,87196890,91539456,124105510
656972961,FALSE,1937,0,0,600,1399925377,1,2,21604967,30237211,38515149,41470731,67601693,85805514,86715129,86738694,109778511,115975133
656975736,TRUE,1667,0,0,600,1399925648,1,2,956503,34752860,36366510,44091499,45064222,91963568,91981924,109822425,109883841,132291754
656976155,FALSE,2035,0,0,600,1399925736,1,2,29126401,58134384,74040691,86724433,91019997,93447516,99672424,111706228,111709507,170041034
656979559,TRUE,2017,0,0,600,1399925868,1,2,28070572,41016928,84853828,85937380,86722079,86750050,86919603,91539456,100704400,124105510
657045289,FALSE,2325,0,0,600,1399930204,1,2,29126401,58134384,74040691,91963568,91981924,93447516,109822425,109883841,132291754,170041034
657045063,FALSE,3536,0,0,600,1399930288,1,2,21604967,41470731,86715129,86761836,86785102,94923783,109778511,112956437,115975133,118073569
657046328,TRUE,2463,0,0,600,1399930344,1,2,7910302,28070572,32922146,83625397,86722079,86750050,91539456,99643683,118032120,124105510
657046570,FALSE,1959,0,0,600,1399930364,1,2,30237211,38515149,41016928,67601693,84853828,85805514,85937380,86738694,86919603,100704400
657096353,FALSE,1931,0,0,600,1399935144,1,2,956503,34752860,36366510,44091499,45064222,86724433,91019997,99672424,111706228,111709507
657096883,FALSE,2179,0,0,600,1399935245,1,2,7910302,30237211,32922146,38515149,67601693,83625397,85805514,86738694,99643683,118032120
657096725,FALSE,1919,0,0,600,1399935250,1,2,21604967,29126401,41470731,58134384,74040691,86715129,93447516,109778511,115975133,170041034
657098467,TRUE,2169,0,0,600,1399935352,1,2,1185644,5448108,10366616,31818853,86761836,86785102,87196890,94923783,112956437,118073569
657137532,TRUE,900,0,0,600,1399939917,1,2,28070572,29126401,58134384,74040691,86722079,86750050,91539456,93447516,124105510,170041034
657137475,FALSE,1987,0,0,600,1399940010,1,2,21604967,41016928,41470731,84853828,85937380,86715129,86919603,100704400,109778511,115975133
657140538,FALSE,2638,0,0,600,1399940026,1,2,86724433,91019997,91963568,91981924,99672424,109822425,109883841,111706228,111709507,132291754
657138638,TRUE,2442,0,0,600,1399940128,1,2,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
658278419,FALSE,1580,0,0,600,1399997577,1,2,29126401,30237211,38515149,58134384,67601693,74040691,85805514,86738694,93447516,170041034
658277530,FALSE,2551,0,0,600,1399997668,1,2,1185644,5448108,10366616,21604967,31818853,41470731,86715129,87196890,109778511,115975133
658283136,TRUE,1718,0,0,600,1399997788,1,2,28070572,86722079,86724433,86750050,91019997,91539456,99672424,111706228,111709507,124105510
658298194,FALSE,2893,0,0,600,1399998372,1,2,7910302,32922146,83625397,86761836,86785102,94923783,99643683,112956437,118032120,118073569
658404890,FALSE,1856,0,0,600,1400002085,1,2,28070572,30237211,38515149,67601693,85805514,86722079,86738694,86750050,91539456,124105510
658403479,TRUE,1908,0,0,600,1400002405,1,2,1185644,5448108,10366616,31818853,87196890,91963568,91981924,109822425,109883841,132291754
658410102,TRUE,2830,0,0,600,1400002522,1,2,41016928,84853828,85937380,86761836,86785102,86919603,94923783,100704400,112956437,118073569
658409507,TRUE,2730,0,0,600,1400002707,1,2,7910302,21604967,32922146,41470731,83625397,86715129,99643683,109778511,115975133,118032120
658527044,FALSE,3097,0,0,600,1400007292,1,2,29126401,58134384,74040691,86761836,86785102,93447516,94923783,112956437,118073569,170041034
658527680,FALSE,1072,0,0,600,1400007342,1,2,1185644,5448108,7910302,10366616,31818853,32922146,83625397,87196890,99643683,118032120
658537830,FALSE,3212,0,0,600,1400007490,1,2,28070572,86722079,86750050,91539456,91963568,91981924,109822425,109883841,124105510,132291754
658536142,TRUE,2646,0,0,600,1400007720,1,2,956503,34752860,36366510,41016928,44091499,45064222,84853828,85937380,86919603,100704400
658642456,FALSE,2288,0,0,600,1400013218,1,2,21604967,41470731,86715129,86724433,91019997,99672424,109778511,111706228,111709507,115975133
658647820,TRUE,2029,0,0,600,1400013306,1,2,86761836,86785102,91963568,91981924,94923783,109822425,109883841,112956437,118073569,132291754
658648866,TRUE,1071,0,0,600,1400013387,1,2,956503,28070572,34752860,36366510,44091499,45064222,86722079,86750050,91539456,124105510
658650701,TRUE,1250,0,0,600,1400013456,1,2,1185644,5448108,10366616,29126401,31818853,58134384,74040691,87196890,93447516,170041034
658702989,TRUE,1405,0,0,600,1400017141,1,2,1185644,5448108,10366616,31818853,41016928,84853828,85937380,86919603,87196890,100704400
658704672,TRUE,1221,0,0,600,1400017221,1,2,86724433,86761836,86785102,91019997,94923783,99672424,111706228,111709507,112956437,118073569
658703432,FALSE,3189,0,0,600,1400017236,1,2,956503,29126401,34752860,36366510,44091499,45064222,58134384,74040691,93447516,170041034
658709879,FALSE,2231,0,0,600,1400017641,1,2,30237211,38515149,67601693,85805514,86738694,91963568,91981924,109822425,109883841,132291754
658750033,TRUE,2054,0,0,600,1400021429,1,2,1185644,5448108,10366616,31818853,86724433,87196890,91019997,99672424,111706228,111709507
658753872,TRUE,2919,0,0,600,1400021839,1,2,7910302,32922146,41016928,83625397,84853828,85937380,86919603,99643683,100704400,118032120
658752961,TRUE,2981,0,0,600,1400021856,1,2,956503,30237211,34752860,36366510,38515149,44091499,45064222,67601693,85805514,86738694
658758992,TRUE,2671,0,0,600,1400022397,1,2,21604967,41470731,86715129,91963568,91981924,109778511,109822425,109883841,115975133,132291754
658792104,TRUE,2934,0,0,600,1400026318,1,2,7910302,29126401,32922146,58134384,74040691,83625397,93447516,99643683,118032120,170041034
658794490,TRUE,3514,0,0,600,1400026562,1,2,30237211,38515149,67601693,85805514,86724433,86738694,91019997,99672424,111706228,111709507
658841968,FALSE,3029,0,0,600,1400033262,1,2,7910302,21604967,32922146,41470731,83625397,86715129,99643683,109778511,115975133,118032120
658890664,FALSE,1520,0,0,600,1400038055,1,2,21604967,41470731,86715129,86724433,91019997,99672424,109778511,111706228,111709507,115975133
658928621,FALSE,2055,0,0,600,1400040947,1,2,7910302,32922146,83625397,86724433,91019997,99643683,99672424,111706228,111709507,118032120
659912531,TRUE,2063,0,0,600,1400084170,1,2,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
660010732,FALSE,2305,0,0,600,1400087682,1,2,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
660243939,FALSE,1453,0,0,600,1400096569,1,2,21604967,41470731,86715129,86724433,91019997,99672424,109778511,111706228,111709507,115975133
660292335,FALSE,3673,0,0,600,1400099170,1,2,21604967,41470731,86715129,86724433,91019997,99672424,109778511,111706228,111709507,115975133
660367687,TRUE,2498,0,0,600,1400104597,1,2,21604967,41470731,86715129,86724433,91019997,99672424,109778511,111706228,111709507,115975133
661626366,FALSE,3706,0,0,600,1400170424,1,2,21604967,30237211,38515149,41470731,67601693,85805514,86715129,86738694,109778511,115975133
661796577,TRUE,1646,0,0,600,1400176015,1,2,21604967,30237211,38515149,41470731,67601693,85805514,86715129,86738694,109778511,115975133
661951244,TRUE,1759,0,0,600,1400183024,1,2,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
662024558,TRUE,905,0,0,600,1400186579,1,1,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
662051194,TRUE,1684,0,0,600,1400188965,1,2,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
662328380,FALSE,2323,0,0,600,1400214307,1,2,86794404,90547237,91929373,96429099,102020930,104109762,104888934,104963314,108223843,131380551
662332221,FALSE,2211,0,0,600,1400214628,1,2,20321748,20796460,32940748,61061435,66296404,86741690,92145869,92164306,92331184,106781506
662332063,TRUE,1226,0,0,600,1400214818,1,2,75390186,76904792,82630959,89654154,91369376,91443418,92704330,92710509,112531417,164685813
662358021,FALSE,3342,0,0,600,1400216020,1,1,3940262,45614257,88933594,91191397,91191651,93119769,101460882,102525542,105599955,106443009
662535351,TRUE,4053,0,0,600,1400226307,1,2,61061435,86741690,91443418,92145869,92164306,92331184,92704330,92710509,112531417,164685813
662580516,FALSE,2185,0,0,600,1400228324,1,2,51541746,86762037,86794404,87442297,89251386,90547237,91929373,98914820,104888934,108223843
662576396,FALSE,1908,0,0,600,1400228672,1,2,20321748,20796460,32940748,45614257,66296404,91191397,91191651,101460882,106443009,106781506
662591030,TRUE,3610,0,0,600,1400228894,1,1,75390186,76904792,82630959,86772934,89654154,91369376,95566398,96307331,102096245,152800969
662643673,TRUE,2131,0,0,600,1400232049,1,2,61061435,86741690,92145869,92164306,92331184,96429099,102020930,104109762,104963314,131380551
662669467,TRUE,1639,0,0,600,1400233252,1,2,3940262,51541746,86762037,87442297,88933594,89251386,93119769,98914820,102525542,105599955
662702113,FALSE,2009,0,0,600,1400234875,1,2,86772934,91443418,92704330,92710509,95566398,96307331,102096245,112531417,152800969,164685813
662701309,FALSE,2239,0,0,600,1400234878,1,2,20321748,20796460,32940748,66296404,86794404,90547237,91929373,104888934,106781506,108223843
662704317,TRUE,2490,0,0,600,1400235098,1,2,45614257,75390186,76904792,82630959,89654154,91191397,91191651,91369376,101460882,106443009
662777694,FALSE,3647,0,0,600,1400238197,1,2,51541746,86762037,87442297,89251386,96429099,98914820,102020930,104109762,104963314,131380551
662796077,TRUE,1741,0,0,600,1400238584,1,2,61061435,86741690,86772934,92145869,92164306,92331184,95566398,96307331,102096245,152800969
662807254,FALSE,2422,0,0,600,1400239015,1,2,3940262,20321748,20796460,32940748,66296404,88933594,93119769,102525542,105599955,106781506
662811772,TRUE,1199,0,0,600,1400239025,1,2,45614257,91191397,91191651,91443418,92704330,92710509,101460882,106443009,112531417,164685813
662937323,TRUE,2741,0,0,600,1400242583,1,1,45614257,61061435,86741690,91191397,91191651,92145869,92164306,92331184,101460882,106443009
662937603,FALSE,1836,0,0,600,1400243504,1,2,86772934,95566398,96307331,96429099,102020930,102096245,104109762,104963314,131380551,152800969
662944050,TRUE,2822,0,0,600,1400243791,1,2,75390186,76904792,82630959,86794404,89654154,90547237,91369376,91929373,104888934,108223843
662955704,FALSE,1648,0,0,600,1400244132,1,2,20321748,20796460,32940748,51541746,66296404,86762037,87442297,89251386,98914820,106781506
664214278,FALSE,2038,0,0,600,1400299790,1,2,45614257,86772934,91191397,91191651,95566398,96307331,101460882,102096245,106443009,152800969
664211697,TRUE,1859,0,0,600,1400299796,1,2,20321748,20796460,32940748,66296404,96429099,102020930,104109762,104963314,106781506,131380551
664223408,FALSE,3823,0,0,600,1400300717,1,2,86794404,90547237,91443418,91929373,92704330,92710509,104888934,108223843,112531417,164685813
664224791,FALSE,1769,0,0,600,1400301216,1,2,3940262,75390186,76904792,82630959,88933594,89654154,91369376,93119769,102525542,105599955
664297619,TRUE,1856,0,0,600,1400304607,1,2,51541746,75390186,76904792,82630959,86762037,87442297,89251386,89654154,91369376,98914820
664299704,TRUE,2048,0,0,600,1400305235,1,2,45614257,91191397,91191651,96429099,101460882,102020930,104109762,104963314,106443009,131380551
664313043,FALSE,1328,0,0,600,1400306023,1,2,3940262,88933594,91443418,92704330,92710509,93119769,102525542,105599955,112531417,164685813
664326618,TRUE,1589,0,0,600,1400306858,1,2,61061435,86741690,86794404,90547237,91929373,92145869,92164306,92331184,104888934,108223843
664399142,TRUE,1363,0,0,600,1400309650,1,2,51541746,86762037,87442297,89251386,91443418,92704330,92710509,98914820,112531417,164685813
664400913,FALSE,1435,0,0,600,1400309975,1,2,3940262,61061435,86741690,88933594,92145869,92164306,92331184,93119769,102525542,105599955
664398157,TRUE,2392,0,0,600,1400310328,1,2,86772934,86794404,90547237,91929373,95566398,96307331,102096245,104888934,108223843,152800969
664423126,FALSE,3313,0,0,600,1400310347,1,1,20321748,20796460,32940748,66296404,75390186,76904792,82630959,89654154,91369376,106781506
664519568,TRUE,1408,0,0,600,1400314623,1,2,45614257,86794404,90547237,91191397,91191651,91929373,101460882,104888934,106443009,108223843
664517919,FALSE,2164,0,0,600,1400314627,1,2,20321748,20796460,32940748,66296404,91443418,92704330,92710509,106781506,112531417,164685813
664514288,FALSE,2762,0,0,600,1400314773,1,2,3940262,86772934,88933594,93119769,95566398,96307331,102096245,102525542,105599955,152800969
664529609,TRUE,2815,0,0,600,1400315221,1,2,51541746,61061435,86741690,86762037,87442297,89251386,92145869,92164306,92331184,98914820
664732744,TRUE,2678,0,0,600,1400322315,1,2,75390186,76904792,82630959,89654154,91369376,96429099,102020930,104109762,104963314,131380551
664789734,TRUE,2987,0,0,600,1400324447,1,2,45614257,51541746,86762037,87442297,89251386,91191397,91191651,98914820,101460882,106443009
664973961,TRUE,2644,0,0,600,1400330309,1,2,45614257,86772934,91191397,91191651,95566398,96307331,101460882,102096245,106443009,152800969
665140039,TRUE,3170,0,0,600,1400335254,1,2,51541746,86762037,86772934,87442297,89251386,95566398,96307331,98914820,102096245,152800969
666296174,TRUE,1676,0,0,600,1400386583,1,2,3940262,88933594,93119769,96429099,102020930,102525542,104109762,104963314,105599955,131380551
666354546,FALSE,3854,0,0,600,1400389568,1,2,3940262,88933594,93119769,96429099,102020930,102525542,104109762,104963314,105599955,131380551
666517998,TRUE,2971,0,0,600,1400396855,1,2,45614257,86772934,91191397,91191651,95566398,96307331,101460882,102096245,106443009,152800969
666643697,TRUE,3194,0,0,600,1400401303,1,2,45614257,86772934,91191397,91191651,95566398,96307331,101460882,102096245,106443009,152800969
666796448,TRUE,2856,0,0,600,1400406650,1,2,45614257,86772934,91191397,91191651,95566398,96307331,101460882,102096245,106443009,152800969
668290416,FALSE,3081,0,0,600,1400473274,1,2,3940262,45614257,88933594,91191397,91191651,93119769,101460882,102525542,105599955,106443009
668358769,TRUE,3213,0,0,600,1400478302,1,2,3940262,45614257,88933594,91191397,91191651,93119769,101460882,102525542,105599955,106443009
668456784,TRUE,1600,0,0,600,1400484597,1,2,3940262,88933594,93119769,96429099,102020930,102525542,104109762,104963314,105599955,131380551
668512374,TRUE,2472,0,0,600,1400487829,1,2,3940262,88933594,93119769,96429099,102020930,102525542,104109762,104963314,105599955,131380551
668585041,TRUE,2185,0,0,600,1400491664,1,2,3940262,88933594,93119769,96429099,102020930,102525542,104109762,104963314,105599955,131380551
668665633,FALSE,2080,0,0,600,1400495761,1,2,3940262,88933594,93119769,96429099,102020930,102525542,104109762,104963314,105599955,131380551
669978153,FALSE,7006,0,0,600,1400558993,1,2,21289303,101375717,110228930,111189717,131043881,131237305,134729228,138885864,139266129,143385139
669978508,FALSE,2125,0,0,600,1400559078,1,2,86750861,92588070,103039499,103155425,103940975,111291593,112940846,113055496,113070925,132239985
669978229,TRUE,2297,0,0,600,1400559152,1,2,89166519,106863163,108376607,111533846,113705693,125576983,130416036,131768153,142750189,166851070
669978947,TRUE,1476,0,0,600,1400559268,1,2,89371588,98878010,101586543,111114687,114239371,117990312,118134220,123854991,136477860,163497368
670038230,FALSE,1648,0,0,600,1400563806,1,2,88521435,102024536,107615580,112960848,114031486,117281554,124566285,136186119,139280377,167895256
670037931,FALSE,3486,0,0,600,1400564026,1,2,101586543,106863163,111114687,117990312,118134220,125576983,130416036,142750189,163497368,166851070
670103245,TRUE,2680,0,0,600,1400568631,1,2,89166519,102024536,107615580,108376607,111533846,113705693,114031486,131768153,139280377,167895256
670104498,FALSE,3590,0,0,600,1400568801,1,2,89371588,98878010,106863163,114239371,123854991,125576983,130416036,136477860,142750189,166851070
670113369,FALSE,4127,0,0,600,1400569392,1,2,92588070,101375717,103039499,111291593,113055496,113070925,131237305,134729228,139266129,143385139
670200377,FALSE,3219,0,0,600,1400574847,1,2,21289303,88521435,110228930,111189717,112960848,117281554,124566285,131043881,136186119,138885864
670204896,TRUE,1808,0,0,600,1400575045,1,2,86750861,101375717,103155425,103940975,112940846,131237305,132239985,134729228,139266129,143385139
670265032,TRUE,3516,0,0,600,1400578171,1,2,101586543,102024536,107615580,111114687,114031486,117990312,118134220,139280377,163497368,167895256
670288135,TRUE,1008,0,0,600,1400579257,1,2,21289303,89166519,108376607,110228930,111189717,111533846,113705693,131043881,131768153,138885864
670291981,FALSE,1784,0,0,600,1400579554,1,2,88521435,92588070,103039499,111291593,112960848,113055496,113070925,117281554,124566285,136186119
670287814,TRUE,1825,0,0,600,1400579884,1,2,89371588,98878010,101375717,114239371,123854991,131237305,134729228,136477860,139266129,143385139
